\popi{r}{m};\popi{S}{m^2};\popi{m_1}{kg};\popi{m_2}{kg};\popi{m_3}{kg};\popi{m}{kg};\popi{\sigma_m}{kg}
0,07;0,0049;1,3;1,28;1,12;1,23333333333333;0,056960024968784
0,08;0,0064;1,517;1,68;1,42;1,539;0,075857322213043
0,09;0,0081;1,683;1,7;1,72;1,701;0,010692676621564
0,1;0,01;1,54;1,5;1,7;1,58;0,061101009266078
