\popi{V_{e}}{ml};\popi{\sigma}{\micro S.cm^{-1}};\popi{\sigma\_{kor}}{\micro S.cm^{-1}};\popi{\sigma(\sigma)}{\micro S.cm^{-1}};\popi{\sigma\_{kor}}{\micro S.cm^{-1}};\popi{c_M}{10^{-3} mol.dm^{-3}};\popi{\sigma (c_M)}{10^{-3} mol.dm^{-3}};\popi{\sqrt{c_M}}{\sqrt{mol.dm^{-3}}};\popi{\sigma (\sqrt{c_M})}{\sqrt{mol.dm^{-3}}}
1;33,6;32,51;0,2;0,2;0,50;0,03;0,0224;0,0006
2;47,6;46,51;0,2;0,2;1,00;1,03;0,0316;0,0004
4;68,2;67;0;0;2,00;2,03;0,0447;0,0003
6;84,5;83;0;0;3,00;3,03;0,0548;0,0002
8;98;97;0;0;4,00;4,03;0,0632;0,0002
10;109;108;1;1;5,00;5,03;0,0707;0,0002
