\popi{\Phi_1}{\dg};46,65
\popi{\Phi_2}{\dg};46,50
\popi{\Phi_3}{\dg};46,47
\popi{\Phi_4}{\dg};46,48
\popi{\Phi_5}{\dg};46,41
\popi{\Phi}{\dg};46,50
\popi{\sigma(\Phi)}{\dg};0,09
