-35	15	4
-30	14	4
-25	20	4
-20	16	4
-15	9	3
-10	19	4
-5	18	4
0	121	11
5	241	16
7,5	307	18
10	381	20
12,5	437	21
15	421	21
17,5	460	21
20	415	20
22,5	367	19
25	268	16
27,5	196	14
30	176	13
32,5	110	10
35	47	7
40	27	5
