-35	10	3
-30	9	3
-25	3	2
-20	7	3
-15	9	3
-10	11	3
-5	11	3
0	4	2
5	17	4
7,5	9	3
10	49	7
12,5	88	9
15	216	15
17,5	344	19
20	425	21
22,5	441	21
25	461	21
25,5	386	20
30	296	17
32,5	185	14
35	94	10
40	14	4
