\popi{U}{mV};;\popi{I}{mA};;\popi{Z}{\ohm};;\popi{L}{H};
680;10;30,7;0,5;22,0;0,5;0,070;0,002
1 130;10;51;1;22,2;0,6;0,071;0,002
2 260;30;102;2;22,2;0,5;0,071;0,002
3 380;40;151;3;22,3;0,5;0,071;0,002
4 480;50;201;4;22,3;0,5;0,071;0,002
5 610;60;251;4;22,3;0,4;0,071;0,002
