\popi{\theta}{\deg};28;20
$N_1$;1470;31
$N_2$;1468;25
$N_3$;1366;33
$N_4$;1468;35
$N_5$;1355;39
$N$;1425;33
$\sigma(N)$;59;5
$\sqrt{N}$;38;6
