typ;\popi{I}{mA};;\popi{U_x}{V};;\popi{U_c}{V};;\popi{U_y}{V};;\popi{H_m}{A.m^{-1}};;\popi{H_c}{A.m^{-1}};;\popi{B_m}{T};
a);30,8;0,5;0,50;0,03;0,00;0,03;0,5;0,1;18,7;0,3;0,0;0,9;0,030;0,007
a);50,1;0,8;0,78;0,03;0,00;0,03;0,8;0,1;30,4;0,5;0;1;0,045;0,008
a);75;1;1,15;0,03;0,00;0,03;1,0;0,1;45,8;0,9;0;1;0,060;0,008
b);102;2;1,55;0,03;0,15;0,03;1,5;0,1;62;1;6;1;0,089;0,008
b);123;2;2,38;0,03;0,23;0,03;1,8;0,1;75;1;7;1;0,104;0,008
b);151;3;2,25;0,03;0,35;0,03;2,3;0,1;91;2;14;1;0,134;0,008
b)-c);175;3;2,70;0,03;0,50;0,03;2,8;0,1;106;2;20;1;0,164;0,009
c);199;3;2,95;0,03;0,50;0,03;3,0;0,1;121;2;20;1;0,179;0,009
c);226;4;3,40;0,05;0,60;0,05;3,4;0,1;137;2;24;2;0,201;0,009
c);249;4;3,80;0,05;0,75;0,05;3,6;0,1;151;2;30;2;0,216;0,009
