typ;\popi{I}{mA};;\popi{U_x}{V};;\popi{U_C}{V};;\popi{U_y}{V};;\popi{H_m}{A.m^{-1}};;\popi{H_c}{A.m^{-1}};;\popi{B_m}{T};
a);11,7;0,2;0,20;0,03;0,00;0,03;0,8;0,1;7,5;0,1;0,0;0,9;0,046;0,008
b);20,2;0,3;0,30;0,03;0,10;0,03;1,5;0,1;12,8;0,2;4;1;0,093;0,008
b);30,4;0,5;0,50;0,03;0,15;0,03;2,3;0,1;19,4;0,3;6;1;0,139;0,009
c);43,0;0,7;0,70;0,03;0,18;0,03;3,0;0,1;27,4;0,4;7;1;0,185;0,009
c);60,0;0,9;0,95;0,03;0,20;0,03;3,5;0,1;38,2;0,6;8;1;0,22;0,01
c);81;2;1,20;0,03;0,23;0,03;3,9;0,1;51;1;10;1;0,24;0,01
c);101;2;1,60;0,03;0,25;0,03;4,3;0,1;64;1;10;1;0,26;0,01
c);125;2;1,95;0,03;0,25;0,03;4,4;0,1;80;1;10;1;0,27;0,01
c);152;3;2,33;0,03;0,25;0,03;4,6;0,1;97;2;10;1;0,29;0,01
