\popi{x}{mm};\popi{H_n}{A.m^{-1}};\popi{H_n}{A.m^{-1}};;
-83;534;10;697;12
-70;455;10;646;11
-60;385;9;603;11
-50;316;8;563;11
-40;248;8;527;10
-30;177;8;497;10
-20;108;7;474;10
-10;38;7;463;10
0;5;7;460;10
10;76;7;467;10
20;142;7;482;10
30;217;8;508;10
40;289;8;544;10
50;363;9;586;11
60;437;9;630;11
70;502;10;675;12
80;563;11;714;12
