;\multicolumn{4}{|c|}{popsaná strana};;;;\multicolumn{4}{|c|}{nepopsaná strana};;;
k;\popi{\rho}{mm};\popi{\sigma(\rho)}{mm};\popi{\rho^2}{cm^2};\popi{\sigma(\rho^2)}{cm^2};\popi{\rho}{mm};\popi{\sigma(\rho)}{mm};\popi{\rho^2}{cm^2};\popi{\sigma(\rho^2)}{cm^2}
1;157;4;2,4;0,1;201;4;4,1;0,2
2;259;5;6,7;0,2;286;5;8,2;0,3
3;338;5;11,4;0,4;353;6;12,4;0,4
4;401;6;16,1;0,5;408;6;16,7;0,5
5;455;7;20,7;0,6;459;7;21,0;0,6
6;504;7;25,4;0,7;504;7;25,4;0,7
7;547;7;29,9;0,8;543;7;29,5;0,8
8;586;8;34,4;0,9;579;8;33,5;0,9
9;624;8;39;1;613;8;38;1
10;660;9;44;1;649;8;42;1
11;692;9;48;1;682;9;46;1
12;727;9;53;1;709;9;50;1
13;757;10;57;1;739;9;55;1
14;786;10;62;2;770;10;59;1
15;817;10;67;2;795;10;63;2
16;;;;;822;10;68;2
